Age,Salary,Budget,category
33,18,5000,fine dining
18,1,10000,adventure
35,19,5000,art
50,21,1000,fine dining
39,18,2000,nature
58,20,500,art
61,20,10000,cafe
37,4,2000,nature
23,26,2000,cafe
56,25,1000,fine dining
37,6,500,fine dining
36,8,1000,art
64,27,5000,nature
51,10,3000,cafe
65,12,1000,pub
23,8,1000,resort
27,11,1000,cafe
34,5,1000,nature
34,19,1000,art
34,13,1000,nature
25,13,10000,cafe
62,23,2000,pub
58,30,5000,cafe
55,26,10000,cafe
19,2,5000,pub
25,26,5000,fine dining
48,23,3000,adventure
44,5,3000,nature
65,12,1000,cafe
25,14,3000,pub
62,5,10000,pub
54,6,3000,resort
22,9,5000,adventure
63,16,5000,fine dining
57,19,500,cafe
40,10,3000,art
61,20,500,resort
35,27,500,nature
33,28,5000,cafe
30,20,10000,resort
18,2,10000,nature
53,6,10000,cafe
33,22,1000,adventure
37,26,2000,fine dining
19,2,500,adventure
20,18,5000,resort
31,18,5000,resort
62,27,2000,art
46,28,2000,adventure
41,20,500,nature
48,10,1000,pub
22,29,2000,art
52,30,3000,cafe
64,18,5000,resort
27,7,3000,resort
54,28,500,art
33,29,2000,pub
54,17,500,resort
46,20,5000,pub
29,13,1000,cafe
20,17,5000,nature
57,27,500,art
41,25,10000,cafe
45,27,500,art
33,9,500,art
29,16,5000,resort
24,11,2000,cafe
49,28,3000,cafe
33,28,1000,nature
22,5,1000,resort
58,12,1000,art
20,6,500,art
55,17,5000,nature
60,24,5000,nature
29,28,500,fine dining
24,21,5000,fine dining
48,7,3000,cafe
39,16,5000,adventure
52,5,5000,art
23,14,500,cafe
52,29,3000,cafe
59,21,1000,nature
18,1,500,fine dining
27,6,500,pub
57,7,1000,nature
58,18,10000,adventure
39,25,3000,cafe
53,18,1000,adventure
29,4,1000,nature
55,16,3000,cafe
40,29,3000,pub
49,16,2000,pub
25,5,2000,nature
27,14,1000,art
34,19,1000,fine dining
40,5,3000,adventure
19,1,1000,fine dining
21,10,500,art
28,9,5000,fine dining
63,5,10000,cafe
48,15,3000,cafe
60,10,5000,fine dining
39,8,10000,art
53,30,1000,art
56,26,500,cafe
63,4,1000,pub
49,22,1000,adventure
33,13,10000,nature
29,18,2000,fine dining
58,24,2000,cafe
44,16,1000,art
63,7,1000,nature
25,13,10000,resort
26,16,1000,resort
38,7,3000,cafe
49,8,500,cafe
25,8,500,fine dining
56,10,2000,cafe
26,19,5000,nature
50,6,10000,pub
54,23,1000,cafe
48,11,10000,nature
28,5,2000,art
34,24,5000,fine dining
18,1,10000,nature
55,8,10000,art
47,16,3000,adventure
38,12,2000,cafe
65,27,500,cafe
28,26,5000,fine dining
44,26,500,adventure
53,16,3000,nature
60,24,2000,adventure
48,21,500,resort
21,7,5000,art
29,15,3000,art
21,16,10000,art
23,12,10000,resort
33,20,2000,pub
27,22,2000,art
44,5,2000,cafe
60,12,5000,cafe
36,6,500,adventure
51,24,10000,resort
37,5,10000,resort
49,11,1000,cafe
36,26,5000,fine dining
19,2,500,art
41,22,500,resort
65,11,2000,art
54,22,5000,nature
60,14,1000,art
46,7,10000,art
35,11,3000,adventure
40,29,5000,cafe
49,11,2000,resort
32,18,1000,nature
27,25,10000,adventure
45,22,500,fine dining
63,21,1000,cafe
58,19,3000,nature
31,22,1000,fine dining
32,17,1000,cafe
43,7,5000,art
24,22,10000,pub
52,22,5000,pub
37,10,5000,adventure
28,30,3000,adventure
34,20,10000,resort
52,7,10000,cafe
44,15,2000,adventure
63,20,500,resort
50,25,2000,cafe
63,28,10000,fine dining
25,22,10000,cafe
32,17,2000,nature
51,19,5000,nature
44,6,3000,adventure
61,29,5000,fine dining
37,12,3000,fine dining
27,18,10000,nature
24,29,5000,cafe
36,7,1000,cafe
63,5,3000,art
22,21,1000,fine dining
51,24,10000,fine dining
33,25,3000,fine dining
19,2,10000,fine dining
22,12,2000,nature
37,26,10000,pub
56,5,1000,art
64,6,5000,art
33,9,3000,adventure
21,14,2000,pub
51,16,500,nature
22,27,500,fine dining
34,28,2000,resort
24,23,10000,cafe
62,29,10000,nature
53,10,500,cafe
33,25,2000,fine dining
35,13,1000,resort
42,11,500,adventure
33,4,3000,pub
39,19,1000,cafe
31,22,1000,nature
37,21,3000,cafe
58,6,2000,cafe
60,7,1000,nature
60,30,5000,cafe
49,13,500,cafe
26,8,10000,art
52,27,2000,resort
18,2,5000,fine dining
55,7,3000,pub
46,17,2000,art
47,22,500,cafe
53,4,10000,nature
29,21,5000,art
26,29,5000,cafe
63,26,10000,fine dining
53,25,10000,art
43,5,10000,fine dining
35,11,5000,pub
28,16,500,resort
57,20,2000,cafe
48,7,1000,cafe
23,11,10000,pub
61,20,500,nature
54,6,10000,adventure
28,11,1000,cafe
28,20,10000,art
29,17,1000,nature
49,27,10000,resort
18,1,500,cafe
58,22,5000,resort
41,29,10000,pub
30,14,5000,resort
19,2,3000,art
39,26,500,resort
29,22,2000,pub
60,16,1000,art
48,16,2000,art
51,13,5000,art
65,25,2000,nature
58,5,5000,fine dining
54,23,3000,cafe
18,2,3000,pub
31,20,500,adventure
18,2,3000,resort
61,5,500,resort
35,26,2000,art
55,27,2000,fine dining
18,2,2000,resort
35,6,3000,art
51,24,500,pub
54,7,5000,resort
57,13,1000,pub
44,14,1000,pub
19,1,5000,fine dining
62,14,1000,art
43,9,500,cafe
59,14,1000,fine dining
29,18,2000,adventure
38,24,3000,cafe
21,10,500,cafe
57,5,3000,fine dining
62,26,3000,art
43,24,10000,fine dining
53,24,1000,fine dining
50,10,500,fine dining
56,10,1000,adventure
38,22,1000,pub
51,12,5000,cafe
19,1,5000,cafe
48,16,2000,adventure
61,6,10000,pub
27,26,1000,pub
65,21,10000,pub
65,5,1000,cafe
44,30,500,cafe
32,6,1000,pub
45,23,1000,resort
63,26,2000,adventure
31,27,500,adventure
20,7,1000,nature
24,9,500,cafe
27,29,3000,fine dining
51,17,1000,nature
54,18,1000,adventure
25,10,2000,resort
34,28,10000,art
27,10,10000,resort
34,4,5000,cafe
45,11,3000,fine dining
23,6,5000,cafe
64,29,1000,fine dining
50,7,5000,adventure
51,15,10000,fine dining
49,21,2000,cafe
21,20,1000,art
64,23,10000,pub
23,22,5000,art
50,21,1000,adventure
22,8,500,adventure
27,29,1000,resort
54,12,10000,fine dining
54,27,2000,cafe
22,17,10000,pub
23,15,1000,cafe
47,24,5000,pub
52,6,500,pub
65,15,1000,cafe
65,15,2000,fine dining
18,2,3000,nature
41,13,3000,pub
57,24,2000,pub
47,29,1000,adventure
33,22,3000,adventure
47,20,3000,cafe
55,23,10000,cafe
42,15,1000,fine dining
22,10,1000,resort
65,7,10000,nature
26,20,1000,nature
45,24,5000,pub
37,13,5000,cafe
22,9,3000,art
61,26,10000,cafe
19,1,5000,resort
46,9,10000,pub
32,9,500,adventure
51,23,10000,art
43,29,500,nature
54,9,3000,cafe
49,24,10000,fine dining
38,20,1000,cafe
26,23,3000,cafe
39,12,2000,cafe
65,11,500,fine dining
51,22,1000,resort
19,1,2000,fine dining
60,7,5000,cafe
26,21,1000,nature
34,30,10000,fine dining
44,16,10000,pub
46,26,5000,cafe
25,23,10000,resort
55,7,2000,nature
52,10,500,adventure
64,16,500,cafe
39,22,2000,cafe
55,26,10000,pub
59,20,3000,fine dining
25,5,3000,pub
18,2,10000,adventure
21,29,10000,nature
27,6,10000,resort
46,30,500,cafe
29,10,3000,cafe
22,28,5000,fine dining
19,1,5000,pub
59,23,500,adventure
60,11,5000,adventure
49,30,2000,pub
30,14,500,adventure
20,15,3000,cafe
36,22,10000,art
30,11,1000,art
20,21,3000,fine dining
21,18,1000,nature
31,28,10000,resort
45,18,1000,resort
40,16,5000,nature
41,15,2000,adventure
24,11,3000,cafe
51,26,10000,cafe
20,10,10000,adventure
63,30,5000,nature
30,8,5000,nature
39,8,10000,cafe
25,5,1000,fine dining
55,6,3000,cafe
50,10,2000,fine dining
42,21,500,cafe
35,26,2000,pub
20,5,1000,adventure
33,17,10000,adventure
22,23,3000,pub
30,4,500,cafe
43,29,10000,pub
24,15,500,fine dining
45,14,3000,cafe
60,27,500,adventure
30,13,5000,pub
41,5,2000,fine dining
57,6,5000,cafe
49,9,2000,cafe
39,19,5000,nature
64,7,1000,pub
38,23,500,cafe
37,30,2000,pub
27,25,5000,adventure
35,8,3000,resort
19,2,5000,art
59,22,500,adventure
54,20,500,pub
57,13,10000,cafe
45,29,5000,fine dining
44,25,10000,fine dining
62,25,2000,art
54,16,500,cafe
18,1,10000,art
40,29,3000,pub
25,12,500,art
59,8,500,fine dining
38,21,3000,nature
25,30,1000,resort
61,22,500,adventure
39,10,3000,fine dining
59,17,10000,fine dining
62,4,5000,fine dining
50,13,10000,adventure
56,12,500,adventure
37,13,1000,pub
53,14,3000,resort
20,17,500,fine dining
25,6,500,adventure
63,24,1000,pub
21,9,2000,cafe
40,12,3000,cafe
24,4,3000,resort
41,21,2000,cafe
44,9,1000,fine dining
48,28,1000,cafe
40,11,1000,art
31,4,2000,art
18,2,1000,pub
18,1,2000,nature
18,2,500,art
41,9,5000,resort
37,26,2000,art
64,18,1000,cafe
61,28,10000,resort
57,10,500,adventure
48,28,2000,cafe
57,17,2000,art
45,13,1000,resort
55,24,3000,cafe
32,25,2000,art
52,24,10000,cafe
41,19,1000,adventure
18,1,500,cafe
60,12,10000,nature
54,27,3000,art
57,17,5000,fine dining
65,29,5000,pub
25,19,5000,adventure
35,29,3000,cafe
65,13,2000,fine dining
22,13,2000,cafe
23,12,2000,pub
19,1,1000,nature
34,23,3000,fine dining
18,1,2000,cafe
32,22,10000,resort
24,22,5000,resort
37,17,10000,cafe
34,6,1000,adventure
51,25,500,cafe
44,5,1000,adventure
57,19,10000,fine dining
52,13,500,cafe
26,15,2000,pub
39,18,500,art
18,2,2000,resort
51,21,500,cafe
58,15,1000,nature
51,24,2000,cafe
65,18,1000,art
44,15,500,resort
31,10,500,art
60,20,2000,cafe
55,25,10000,fine dining
21,30,5000,pub
32,29,1000,pub
21,6,3000,cafe
23,4,3000,fine dining
27,18,500,nature
63,13,500,resort
45,22,5000,art
27,12,2000,cafe
20,29,2000,cafe
61,12,10000,resort
63,25,500,resort
37,12,2000,nature
51,5,10000,resort
44,6,2000,art
31,25,5000,cafe
43,21,3000,adventure
22,7,1000,pub
52,25,1000,fine dining
34,7,1000,pub
52,22,3000,resort
51,8,10000,cafe
63,8,3000,art
52,16,3000,pub
60,20,2000,cafe
48,8,5000,pub
54,28,2000,cafe
56,20,10000,cafe
54,30,500,cafe
41,30,5000,nature
57,9,5000,pub
45,10,3000,nature
42,23,2000,pub
60,7,3000,art
60,28,3000,nature
30,11,1000,resort
50,21,2000,pub
31,30,10000,pub
57,20,1000,nature
60,25,2000,resort
36,11,5000,fine dining
33,15,1000,resort
41,8,10000,nature
42,20,5000,art
29,24,5000,adventure
35,12,10000,cafe
63,10,1000,nature
53,16,2000,cafe
42,9,3000,pub
34,10,5000,adventure
31,29,500,resort
23,18,5000,resort
64,23,1000,adventure
35,7,500,pub
32,13,10000,cafe
28,8,500,cafe
29,9,500,adventure
22,25,500,adventure
40,30,5000,cafe
22,11,5000,fine dining
43,14,3000,resort
31,5,10000,resort
38,19,5000,fine dining
49,5,10000,nature
32,8,10000,resort
34,6,5000,adventure
50,7,1000,cafe
55,11,500,cafe
33,17,500,cafe
38,9,5000,cafe
24,5,2000,cafe
22,20,1000,adventure
39,23,10000,nature
38,26,5000,fine dining
19,1,1000,pub
64,13,3000,resort
48,13,3000,art
25,26,500,fine dining
62,8,3000,nature
24,22,10000,fine dining
57,10,1000,resort
18,1,10000,adventure
58,27,1000,adventure
60,17,5000,fine dining
18,2,10000,nature
42,17,5000,resort
27,5,10000,adventure
29,21,2000,nature
61,21,500,resort
57,12,3000,resort
51,7,500,nature
42,15,10000,resort
41,18,3000,adventure
37,25,500,cafe
60,17,3000,fine dining
62,4,5000,fine dining
34,28,500,pub
21,9,5000,cafe
35,12,1000,adventure
63,22,10000,art
38,8,500,art
49,16,3000,art
62,28,10000,nature
21,20,3000,art
38,13,3000,pub
29,12,500,cafe
29,28,2000,cafe
55,26,2000,cafe
26,25,500,cafe
26,24,500,pub
48,8,2000,pub
58,30,5000,adventure
51,9,500,nature
61,23,3000,resort
42,19,5000,cafe
52,6,10000,resort
49,5,500,adventure
39,5,3000,cafe
41,17,3000,art
61,20,2000,pub
41,9,5000,nature
29,19,500,art
37,15,2000,pub
28,12,500,art
51,10,3000,adventure
63,9,2000,resort
18,1,1000,art
37,14,500,resort
39,15,3000,adventure
34,8,2000,fine dining
46,20,500,resort
57,28,3000,adventure
19,1,1000,nature
25,20,10000,pub
52,4,10000,pub
38,21,2000,nature
65,9,10000,cafe
52,12,10000,art
58,28,1000,cafe
21,20,10000,cafe
64,28,1000,cafe
60,10,5000,pub
60,15,10000,cafe
58,12,5000,pub
38,18,10000,resort
57,20,500,fine dining
24,19,10000,nature
61,21,3000,art
61,18,500,cafe
61,20,500,cafe
46,18,500,art
61,23,3000,cafe
29,19,2000,pub
57,9,10000,cafe
25,16,2000,nature
36,29,1000,fine dining
45,8,5000,fine dining
31,13,3000,resort
27,15,500,pub
21,30,5000,pub
61,20,5000,nature
64,7,3000,cafe
58,25,2000,art
61,28,2000,cafe
44,25,3000,adventure
53,15,500,cafe
63,5,2000,cafe
52,17,2000,resort
18,2,2000,pub
30,22,500,art
43,5,500,pub
64,14,500,adventure
36,9,1000,adventure
24,27,500,fine dining
24,17,5000,fine dining
27,4,500,resort
18,1,1000,nature
42,5,5000,cafe
52,13,10000,nature
29,19,2000,resort
27,19,3000,nature
47,6,5000,cafe
29,11,2000,nature
19,2,10000,art
61,11,10000,art
56,15,5000,cafe
40,6,1000,art
63,25,5000,cafe
44,11,500,resort
20,10,5000,resort
28,5,10000,resort
58,18,3000,resort
27,6,500,nature
29,22,3000,resort
37,9,2000,cafe
38,16,500,adventure
35,6,10000,cafe
23,16,2000,pub
59,10,5000,nature
23,24,5000,resort
45,29,2000,art
42,27,10000,cafe
29,28,500,art
38,6,5000,resort
31,7,500,art
37,17,2000,nature
33,24,5000,cafe
62,17,1000,art
26,6,3000,art
52,22,2000,fine dining
61,10,10000,nature
60,20,3000,nature
27,15,3000,adventure
58,12,1000,adventure
55,24,10000,fine dining
63,21,5000,fine dining
62,6,1000,resort
34,7,5000,fine dining
56,23,1000,adventure
65,27,10000,cafe
21,29,500,cafe
45,21,3000,art
42,15,2000,resort
47,6,1000,fine dining
30,16,2000,adventure
25,16,1000,adventure
35,27,500,nature
58,14,3000,nature
58,20,3000,nature
24,20,3000,pub
38,4,10000,cafe
54,5,1000,resort
50,12,500,art
38,10,500,cafe
35,19,500,resort
63,19,10000,cafe
43,11,10000,cafe
51,11,1000,fine dining
24,12,10000,resort
64,8,10000,adventure
36,10,1000,nature
54,13,10000,nature
41,13,2000,cafe
56,15,1000,adventure
31,9,10000,pub
52,30,2000,pub
26,8,500,nature
30,24,10000,cafe
36,23,1000,pub
25,28,10000,resort
58,20,500,fine dining
49,13,5000,cafe
43,11,5000,pub
28,27,2000,fine dining
31,28,5000,cafe
22,10,2000,art
61,19,10000,cafe
46,9,500,nature
54,29,10000,art
47,24,10000,cafe
48,18,5000,fine dining
41,29,3000,cafe
64,13,10000,cafe
60,11,2000,cafe
63,4,1000,art
40,18,1000,resort
40,23,500,resort
60,16,3000,cafe
36,8,2000,art
57,7,2000,pub
29,14,500,pub
49,24,500,nature
26,14,500,cafe
34,10,3000,cafe
27,6,1000,cafe
35,22,5000,adventure
43,49,2000,art
34,10,10000,nature
38,25,5000,cafe
27,41,2000,nature
60,43,5000,nature
31,16,5000,cafe
37,39,2000,resort
58,15,5000,nature
62,27,3000,adventure
47,23,2000,art
49,11,500,resort
64,30,500,resort
33,42,500,adventure
37,33,1000,resort
51,30,10000,fine dining
31,25,5000,adventure
36,29,10000,resort
27,30,5000,fine dining
46,34,5000,cafe
33,31,2000,adventure
27,39,3000,adventure
41,47,2000,adventure
55,42,5000,fine dining
63,41,500,nature
56,38,10000,pub
27,47,2000,pub
19,1,3000,nature
63,35,500,pub
27,38,500,art
62,33,5000,cafe
25,31,2000,fine dining
54,28,3000,adventure
22,29,1000,adventure
57,49,500,nature
36,30,500,fine dining
48,30,500,pub
40,12,2000,art
55,31,5000,fine dining
52,11,500,cafe
37,27,500,resort
55,46,5000,art
55,31,5000,pub
64,47,2000,pub
45,42,5000,art
18,2,5000,resort
59,23,2000,cafe
28,42,2000,adventure
43,14,10000,cafe
64,15,5000,pub
20,34,500,pub
65,39,3000,cafe
43,11,5000,nature
42,48,2000,pub
35,22,10000,fine dining
31,17,3000,nature
22,48,5000,cafe
42,16,500,adventure
28,36,10000,cafe
55,17,2000,nature
39,18,5000,resort
34,36,500,pub
62,27,3000,resort
44,32,10000,nature
30,44,2000,nature
24,20,1000,fine dining
45,28,1000,resort
51,39,500,cafe
61,27,10000,art
43,11,10000,fine dining
35,41,5000,resort
55,30,5000,fine dining
19,1,3000,resort
44,23,2000,resort
57,31,5000,nature
55,12,1000,art
19,2,10000,fine dining
49,48,2000,cafe
49,37,1000,adventure
39,48,1000,resort
48,45,3000,pub
39,12,3000,fine dining
64,34,5000,nature
41,12,1000,pub
38,40,500,resort
30,16,1000,cafe
58,42,5000,cafe
18,1,500,resort
34,29,500,nature
21,18,2000,cafe
65,34,10000,resort
35,37,10000,resort
47,34,500,pub
63,32,500,nature
57,28,1000,adventure
49,19,500,pub
22,44,2000,adventure
51,21,500,pub
53,46,10000,cafe
61,25,2000,fine dining
56,34,500,art
61,47,5000,cafe
34,15,500,nature
30,35,500,resort
59,24,1000,resort
19,1,500,cafe
39,21,2000,art
59,42,10000,cafe
60,25,10000,pub
24,37,500,art
25,21,1000,resort
42,25,5000,fine dining
48,11,10000,art
50,29,500,resort
21,36,3000,cafe
34,14,3000,resort
33,40,5000,pub
43,12,1000,adventure
62,32,500,cafe
22,17,1000,pub
36,33,500,cafe
36,39,5000,resort
25,46,3000,cafe
53,34,2000,nature
65,34,2000,adventure
22,47,10000,resort
62,24,3000,cafe
27,28,2000,art
18,1,10000,resort
46,27,3000,cafe
53,39,500,fine dining
58,14,1000,adventure
49,22,2000,nature
36,49,500,fine dining
27,10,5000,resort
24,40,500,nature
50,21,5000,cafe
42,12,3000,pub
19,1,10000,nature
37,29,3000,cafe
55,20,1000,cafe
49,35,1000,pub
41,32,5000,fine dining
30,26,3000,resort
59,24,5000,art
21,19,10000,art
22,35,3000,art
58,30,500,fine dining
57,36,10000,cafe
56,12,1000,cafe
26,21,1000,cafe
23,38,500,nature
50,47,500,fine dining
35,40,1000,cafe
42,49,10000,cafe
38,35,10000,nature
31,48,2000,art
37,20,1000,adventure
59,11,10000,cafe
50,15,2000,pub
49,29,10000,nature
38,15,3000,resort
26,44,3000,fine dining
34,19,3000,cafe
39,25,2000,cafe
53,39,2000,resort
49,14,3000,art
54,38,2000,cafe
25,42,1000,pub
45,34,5000,cafe
27,23,2000,art
40,27,1000,cafe
27,39,10000,resort
52,29,1000,art
53,41,1000,pub
24,26,5000,art
45,27,2000,resort
58,29,500,cafe
65,29,2000,resort
31,21,500,nature
65,25,3000,nature
50,29,5000,cafe
62,16,10000,resort
33,38,1000,resort
55,18,1000,adventure
60,20,500,cafe
45,41,10000,fine dining
65,26,5000,nature
53,25,1000,art
24,38,5000,adventure
50,28,1000,pub
25,14,5000,adventure
37,34,10000,pub
22,37,5000,fine dining
24,26,5000,fine dining
64,29,10000,art
62,43,500,art
25,47,5000,art
27,37,1000,fine dining
23,40,2000,cafe
50,36,10000,resort
61,29,3000,pub
65,27,500,resort
30,48,3000,resort
63,34,3000,nature
40,35,500,adventure
54,43,1000,nature
52,13,5000,nature
23,19,500,adventure
21,11,2000,art
36,48,2000,adventure
56,43,5000,adventure
61,35,500,nature
42,18,5000,fine dining
43,15,2000,art
29,16,1000,pub
51,35,2000,nature
43,22,10000,nature
58,46,5000,pub
28,50,2000,fine dining
31,20,2000,adventure
35,44,2000,cafe
52,39,5000,cafe
34,15,10000,fine dining
30,33,1000,art
25,13,3000,art
61,25,10000,art
48,42,10000,adventure
26,36,5000,adventure
22,10,3000,art
28,10,3000,adventure
30,20,10000,cafe
32,24,2000,cafe
62,17,1000,fine dining
49,39,2000,fine dining
40,44,5000,resort
39,34,500,pub
46,41,2000,resort
34,43,10000,nature
34,24,3000,resort
26,47,3000,fine dining
32,16,3000,resort
37,25,3000,pub
28,26,1000,adventure
29,20,5000,pub
58,26,500,nature
34,37,500,cafe
48,11,5000,art
55,39,2000,adventure
49,20,3000,fine dining
24,11,5000,resort
52,18,500,cafe
36,23,500,fine dining
64,30,10000,cafe
19,1,5000,nature
22,37,500,pub
52,45,2000,pub
20,10,2000,pub
27,44,500,art
46,15,500,resort
30,36,3000,pub
46,12,5000,cafe
54,14,2000,resort
31,44,1000,resort
34,19,3000,fine dining
18,1,3000,art
56,18,500,fine dining
31,33,2000,art
52,17,10000,art
41,10,1000,nature
59,39,500,cafe
58,23,3000,pub
49,13,10000,art
39,11,500,nature
22,41,10000,cafe
63,39,2000,cafe
34,18,2000,resort
47,33,500,art
64,11,500,cafe
42,37,2000,pub
40,22,500,nature
56,18,500,pub
63,29,500,adventure
30,23,2000,adventure
29,12,2000,nature
35,13,10000,resort
64,45,1000,nature
26,30,10000,pub
62,14,2000,cafe
55,35,2000,nature
51,16,3000,art
47,39,1000,adventure
33,30,1000,adventure
29,50,5000,cafe
35,30,500,art
57,32,3000,pub
34,48,500,adventure
21,39,500,resort
39,20,1000,nature
30,41,500,fine dining
21,42,2000,adventure
32,14,2000,resort
38,23,1000,art
63,39,10000,art
59,30,10000,fine dining
45,40,500,cafe
28,21,10000,pub
65,23,5000,cafe
64,25,500,fine dining
34,34,500,resort
26,27,2000,nature
22,16,5000,fine dining
60,30,2000,resort
42,41,2000,fine dining
37,43,3000,cafe
64,27,2000,pub
29,46,10000,cafe
25,31,5000,art
55,25,1000,adventure
51,42,10000,cafe
43,13,1000,adventure
43,44,5000,resort
54,47,5000,cafe
24,34,2000,resort
48,38,10000,nature
40,50,3000,resort
22,14,1000,cafe
29,40,2000,resort
24,42,5000,pub
39,18,2000,resort
40,43,10000,pub
33,30,3000,cafe
43,18,500,fine dining
30,25,10000,cafe
64,43,3000,resort
30,42,1000,nature
37,22,3000,fine dining
32,24,5000,pub
31,27,2000,nature
22,39,10000,pub
46,46,10000,resort
42,28,10000,art
65,23,3000,resort
38,41,1000,pub
50,31,3000,adventure
64,17,500,resort
25,29,5000,cafe
59,27,2000,pub
48,24,3000,cafe
42,35,3000,adventure
38,39,10000,fine dining
54,15,10000,adventure
18,1,3000,cafe
19,2,10000,cafe
59,21,10000,cafe
36,28,10000,fine dining
42,37,3000,adventure
37,28,1000,fine dining
